"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Synidotea laevidorsalis","Synidotea laevidorsalis[ORGN] AND 18S","Synidotea laevidorsalis[ORGN] AND  16S","Synidotea laevidorsalis[ORGN] AND  PITS","Synidotea laevidorsalis[ORGN] AND  CO1","Synidotea laevidorsalis[ORGN] AND  COI","Synidotea laevidorsalis[ORGN] AND  COX1","Synidotea laevidorsalis[ORGN] AND  FITS","Synidotea laevidorsalis[ORGN] AND  ITS2","Synidotea laevidorsalis[ORGN] AND  ITS1","Synidotea laevidorsalis[ORGN] AND  trnl","Synidotea laevidorsalis[ORGN] AND  12S"
"Sphaeroma walkeri","Sphaeroma walkeri[ORGN] AND 18S","Sphaeroma walkeri[ORGN] AND  16S","Sphaeroma walkeri[ORGN] AND  PITS","Sphaeroma walkeri[ORGN] AND  CO1","Sphaeroma walkeri[ORGN] AND  COI","Sphaeroma walkeri[ORGN] AND  COX1","Sphaeroma walkeri[ORGN] AND  FITS","Sphaeroma walkeri[ORGN] AND  ITS2","Sphaeroma walkeri[ORGN] AND  ITS1","Sphaeroma walkeri[ORGN] AND  trnl","Sphaeroma walkeri[ORGN] AND  12S"
"Ligia exotica","Ligia exotica[ORGN] AND 18S","Ligia exotica[ORGN] AND  16S","Ligia exotica[ORGN] AND  PITS","Ligia exotica[ORGN] AND  CO1","Ligia exotica[ORGN] AND  COI","Ligia exotica[ORGN] AND  COX1","Ligia exotica[ORGN] AND  FITS","Ligia exotica[ORGN] AND  ITS2","Ligia exotica[ORGN] AND  ITS1","Ligia exotica[ORGN] AND  trnl","Ligia exotica[ORGN] AND  12S"
"Dynamenopsis","Dynamenopsis[ORGN] AND 18S","Dynamenopsis[ORGN] AND  16S","Dynamenopsis[ORGN] AND  PITS","Dynamenopsis[ORGN] AND  CO1","Dynamenopsis[ORGN] AND  COI","Dynamenopsis[ORGN] AND  COX1","Dynamenopsis[ORGN] AND  FITS","Dynamenopsis[ORGN] AND  ITS2","Dynamenopsis[ORGN] AND  ITS1","Dynamenopsis[ORGN] AND  trnl","Dynamenopsis[ORGN] AND  12S"
"Dynoides","Dynoides[ORGN] AND 18S","Dynoides[ORGN] AND  16S","Dynoides[ORGN] AND  PITS","Dynoides[ORGN] AND  CO1","Dynoides[ORGN] AND  COI","Dynoides[ORGN] AND  COX1","Dynoides[ORGN] AND  FITS","Dynoides[ORGN] AND  ITS2","Dynoides[ORGN] AND  ITS1","Dynoides[ORGN] AND  trnl","Dynoides[ORGN] AND  12S"
"Joeropsis dubia","Joeropsis dubia[ORGN] AND 18S","Joeropsis dubia[ORGN] AND  16S","Joeropsis dubia[ORGN] AND  PITS","Joeropsis dubia[ORGN] AND  CO1","Joeropsis dubia[ORGN] AND  COI","Joeropsis dubia[ORGN] AND  COX1","Joeropsis dubia[ORGN] AND  FITS","Joeropsis dubia[ORGN] AND  ITS2","Joeropsis dubia[ORGN] AND  ITS1","Joeropsis dubia[ORGN] AND  trnl","Joeropsis dubia[ORGN] AND  12S"
"Paranthura","Paranthura[ORGN] AND 18S","Paranthura[ORGN] AND  16S","Paranthura[ORGN] AND  PITS","Paranthura[ORGN] AND  CO1","Paranthura[ORGN] AND  COI","Paranthura[ORGN] AND  COX1","Paranthura[ORGN] AND  FITS","Paranthura[ORGN] AND  ITS2","Paranthura[ORGN] AND  ITS1","Paranthura[ORGN] AND  trnl","Paranthura[ORGN] AND  12S"
"Eusarsiella","Eusarsiella[ORGN] AND 18S","Eusarsiella[ORGN] AND  16S","Eusarsiella[ORGN] AND  PITS","Eusarsiella[ORGN] AND  CO1","Eusarsiella[ORGN] AND  COI","Eusarsiella[ORGN] AND  COX1","Eusarsiella[ORGN] AND  FITS","Eusarsiella[ORGN] AND  ITS2","Eusarsiella[ORGN] AND  ITS1","Eusarsiella[ORGN] AND  trnl","Eusarsiella[ORGN] AND  12S"
"Hemimysis anomala","Hemimysis anomala[ORGN] AND 18S","Hemimysis anomala[ORGN] AND  16S","Hemimysis anomala[ORGN] AND  PITS","Hemimysis anomala[ORGN] AND  CO1","Hemimysis anomala[ORGN] AND  COI","Hemimysis anomala[ORGN] AND  COX1","Hemimysis anomala[ORGN] AND  FITS","Hemimysis anomala[ORGN] AND  ITS2","Hemimysis anomala[ORGN] AND  ITS1","Hemimysis anomala[ORGN] AND  trnl","Hemimysis anomala[ORGN] AND  12S"
"Nebalia","Nebalia[ORGN] AND 18S","Nebalia[ORGN] AND  16S","Nebalia[ORGN] AND  PITS","Nebalia[ORGN] AND  CO1","Nebalia[ORGN] AND  COI","Nebalia[ORGN] AND  COX1","Nebalia[ORGN] AND  FITS","Nebalia[ORGN] AND  ITS2","Nebalia[ORGN] AND  ITS1","Nebalia[ORGN] AND  trnl","Nebalia[ORGN] AND  12S"
"Litopenaeus vannamei","Litopenaeus vannamei[ORGN] AND 18S","Litopenaeus vannamei[ORGN] AND  16S","Litopenaeus vannamei[ORGN] AND  PITS","Litopenaeus vannamei[ORGN] AND  CO1","Litopenaeus vannamei[ORGN] AND  COI","Litopenaeus vannamei[ORGN] AND  COX1","Litopenaeus vannamei[ORGN] AND  FITS","Litopenaeus vannamei[ORGN] AND  ITS2","Litopenaeus vannamei[ORGN] AND  ITS1","Litopenaeus vannamei[ORGN] AND  trnl","Litopenaeus vannamei[ORGN] AND  12S"
"Macrobrachium olfersii","Macrobrachium olfersii[ORGN] AND 18S","Macrobrachium olfersii[ORGN] AND  16S","Macrobrachium olfersii[ORGN] AND  PITS","Macrobrachium olfersii[ORGN] AND  CO1","Macrobrachium olfersii[ORGN] AND  COI","Macrobrachium olfersii[ORGN] AND  COX1","Macrobrachium olfersii[ORGN] AND  FITS","Macrobrachium olfersii[ORGN] AND  ITS2","Macrobrachium olfersii[ORGN] AND  ITS1","Macrobrachium olfersii[ORGN] AND  trnl","Macrobrachium olfersii[ORGN] AND  12S"
"Penaeus monodon","Penaeus monodon[ORGN] AND 18S","Penaeus monodon[ORGN] AND  16S","Penaeus monodon[ORGN] AND  PITS","Penaeus monodon[ORGN] AND  CO1","Penaeus monodon[ORGN] AND  COI","Penaeus monodon[ORGN] AND  COX1","Penaeus monodon[ORGN] AND  FITS","Penaeus monodon[ORGN] AND  ITS2","Penaeus monodon[ORGN] AND  ITS1","Penaeus monodon[ORGN] AND  trnl","Penaeus monodon[ORGN] AND  12S"
"Caprella penantis","Caprella penantis[ORGN] AND 18S","Caprella penantis[ORGN] AND  16S","Caprella penantis[ORGN] AND  PITS","Caprella penantis[ORGN] AND  CO1","Caprella penantis[ORGN] AND  COI","Caprella penantis[ORGN] AND  COX1","Caprella penantis[ORGN] AND  FITS","Caprella penantis[ORGN] AND  ITS2","Caprella penantis[ORGN] AND  ITS1","Caprella penantis[ORGN] AND  trnl","Caprella penantis[ORGN] AND  12S"
"Macrobrachium lar","Macrobrachium lar[ORGN] AND 18S","Macrobrachium lar[ORGN] AND  16S","Macrobrachium lar[ORGN] AND  PITS","Macrobrachium lar[ORGN] AND  CO1","Macrobrachium lar[ORGN] AND  COI","Macrobrachium lar[ORGN] AND  COX1","Macrobrachium lar[ORGN] AND  FITS","Macrobrachium lar[ORGN] AND  ITS2","Macrobrachium lar[ORGN] AND  ITS1","Macrobrachium lar[ORGN] AND  trnl","Macrobrachium lar[ORGN] AND  12S"
"Macrobrachium rosenbergii","Macrobrachium rosenbergii[ORGN] AND 18S","Macrobrachium rosenbergii[ORGN] AND  16S","Macrobrachium rosenbergii[ORGN] AND  PITS","Macrobrachium rosenbergii[ORGN] AND  CO1","Macrobrachium rosenbergii[ORGN] AND  COI","Macrobrachium rosenbergii[ORGN] AND  COX1","Macrobrachium rosenbergii[ORGN] AND  FITS","Macrobrachium rosenbergii[ORGN] AND  ITS2","Macrobrachium rosenbergii[ORGN] AND  ITS1","Macrobrachium rosenbergii[ORGN] AND  trnl","Macrobrachium rosenbergii[ORGN] AND  12S"
"Palaemon macrodactylus","Palaemon macrodactylus[ORGN] AND 18S","Palaemon macrodactylus[ORGN] AND  16S","Palaemon macrodactylus[ORGN] AND  PITS","Palaemon macrodactylus[ORGN] AND  CO1","Palaemon macrodactylus[ORGN] AND  COI","Palaemon macrodactylus[ORGN] AND  COX1","Palaemon macrodactylus[ORGN] AND  FITS","Palaemon macrodactylus[ORGN] AND  ITS2","Palaemon macrodactylus[ORGN] AND  ITS1","Palaemon macrodactylus[ORGN] AND  trnl","Palaemon macrodactylus[ORGN] AND  12S"
"Ophiactis savignyi","Ophiactis savignyi[ORGN] AND 18S","Ophiactis savignyi[ORGN] AND  16S","Ophiactis savignyi[ORGN] AND  PITS","Ophiactis savignyi[ORGN] AND  CO1","Ophiactis savignyi[ORGN] AND  COI","Ophiactis savignyi[ORGN] AND  COX1","Ophiactis savignyi[ORGN] AND  FITS","Ophiactis savignyi[ORGN] AND  ITS2","Ophiactis savignyi[ORGN] AND  ITS1","Ophiactis savignyi[ORGN] AND  trnl","Ophiactis savignyi[ORGN] AND  12S"
"Glugea hertwigi","Glugea hertwigi[ORGN] AND 18S","Glugea hertwigi[ORGN] AND  16S","Glugea hertwigi[ORGN] AND  PITS","Glugea hertwigi[ORGN] AND  CO1","Glugea hertwigi[ORGN] AND  COI","Glugea hertwigi[ORGN] AND  COX1","Glugea hertwigi[ORGN] AND  FITS","Glugea hertwigi[ORGN] AND  ITS2","Glugea hertwigi[ORGN] AND  ITS1","Glugea hertwigi[ORGN] AND  trnl","Glugea hertwigi[ORGN] AND  12S"
"Heterosporis","Heterosporis[ORGN] AND 18S","Heterosporis[ORGN] AND  16S","Heterosporis[ORGN] AND  PITS","Heterosporis[ORGN] AND  CO1","Heterosporis[ORGN] AND  COI","Heterosporis[ORGN] AND  COX1","Heterosporis[ORGN] AND  FITS","Heterosporis[ORGN] AND  ITS2","Heterosporis[ORGN] AND  ITS1","Heterosporis[ORGN] AND  trnl","Heterosporis[ORGN] AND  12S"
"Sphaeromyxa sevastopoli","Sphaeromyxa sevastopoli[ORGN] AND 18S","Sphaeromyxa sevastopoli[ORGN] AND  16S","Sphaeromyxa sevastopoli[ORGN] AND  PITS","Sphaeromyxa sevastopoli[ORGN] AND  CO1","Sphaeromyxa sevastopoli[ORGN] AND  COI","Sphaeromyxa sevastopoli[ORGN] AND  COX1","Sphaeromyxa sevastopoli[ORGN] AND  FITS","Sphaeromyxa sevastopoli[ORGN] AND  ITS2","Sphaeromyxa sevastopoli[ORGN] AND  ITS1","Sphaeromyxa sevastopoli[ORGN] AND  trnl","Sphaeromyxa sevastopoli[ORGN] AND  12S"
"Hydroides elegans","Hydroides elegans[ORGN] AND 18S","Hydroides elegans[ORGN] AND  16S","Hydroides elegans[ORGN] AND  PITS","Hydroides elegans[ORGN] AND  CO1","Hydroides elegans[ORGN] AND  COI","Hydroides elegans[ORGN] AND  COX1","Hydroides elegans[ORGN] AND  FITS","Hydroides elegans[ORGN] AND  ITS2","Hydroides elegans[ORGN] AND  ITS1","Hydroides elegans[ORGN] AND  trnl","Hydroides elegans[ORGN] AND  12S"
"Alitta succinea","Alitta succinea[ORGN] AND 18S","Alitta succinea[ORGN] AND  16S","Alitta succinea[ORGN] AND  PITS","Alitta succinea[ORGN] AND  CO1","Alitta succinea[ORGN] AND  COI","Alitta succinea[ORGN] AND  COX1","Alitta succinea[ORGN] AND  FITS","Alitta succinea[ORGN] AND  ITS2","Alitta succinea[ORGN] AND  ITS1","Alitta succinea[ORGN] AND  trnl","Alitta succinea[ORGN] AND  12S"
"Polydora ciliata","Polydora ciliata[ORGN] AND 18S","Polydora ciliata[ORGN] AND  16S","Polydora ciliata[ORGN] AND  PITS","Polydora ciliata[ORGN] AND  CO1","Polydora ciliata[ORGN] AND  COI","Polydora ciliata[ORGN] AND  COX1","Polydora ciliata[ORGN] AND  FITS","Polydora ciliata[ORGN] AND  ITS2","Polydora ciliata[ORGN] AND  ITS1","Polydora ciliata[ORGN] AND  trnl","Polydora ciliata[ORGN] AND  12S"
"Pseudopolydora paucibranchiata","Pseudopolydora paucibranchiata[ORGN] AND 18S","Pseudopolydora paucibranchiata[ORGN] AND  16S","Pseudopolydora paucibranchiata[ORGN] AND  PITS","Pseudopolydora paucibranchiata[ORGN] AND  CO1","Pseudopolydora paucibranchiata[ORGN] AND  COI","Pseudopolydora paucibranchiata[ORGN] AND  COX1","Pseudopolydora paucibranchiata[ORGN] AND  FITS","Pseudopolydora paucibranchiata[ORGN] AND  ITS2","Pseudopolydora paucibranchiata[ORGN] AND  ITS1","Pseudopolydora paucibranchiata[ORGN] AND  trnl","Pseudopolydora paucibranchiata[ORGN] AND  12S"
"Tubificoides pseudogaster","Tubificoides pseudogaster[ORGN] AND 18S","Tubificoides pseudogaster[ORGN] AND  16S","Tubificoides pseudogaster[ORGN] AND  PITS","Tubificoides pseudogaster[ORGN] AND  CO1","Tubificoides pseudogaster[ORGN] AND  COI","Tubificoides pseudogaster[ORGN] AND  COX1","Tubificoides pseudogaster[ORGN] AND  FITS","Tubificoides pseudogaster[ORGN] AND  ITS2","Tubificoides pseudogaster[ORGN] AND  ITS1","Tubificoides pseudogaster[ORGN] AND  trnl","Tubificoides pseudogaster[ORGN] AND  12S"
"Boccardia proboscidea","Boccardia proboscidea[ORGN] AND 18S","Boccardia proboscidea[ORGN] AND  16S","Boccardia proboscidea[ORGN] AND  PITS","Boccardia proboscidea[ORGN] AND  CO1","Boccardia proboscidea[ORGN] AND  COI","Boccardia proboscidea[ORGN] AND  COX1","Boccardia proboscidea[ORGN] AND  FITS","Boccardia proboscidea[ORGN] AND  ITS2","Boccardia proboscidea[ORGN] AND  ITS1","Boccardia proboscidea[ORGN] AND  trnl","Boccardia proboscidea[ORGN] AND  12S"
"Euchone","Euchone[ORGN] AND 18S","Euchone[ORGN] AND  16S","Euchone[ORGN] AND  PITS","Euchone[ORGN] AND  CO1","Euchone[ORGN] AND  COI","Euchone[ORGN] AND  COX1","Euchone[ORGN] AND  FITS","Euchone[ORGN] AND  ITS2","Euchone[ORGN] AND  ITS1","Euchone[ORGN] AND  trnl","Euchone[ORGN] AND  12S"
"Hydroides dirampha","Hydroides dirampha[ORGN] AND 18S","Hydroides dirampha[ORGN] AND  16S","Hydroides dirampha[ORGN] AND  PITS","Hydroides dirampha[ORGN] AND  CO1","Hydroides dirampha[ORGN] AND  COI","Hydroides dirampha[ORGN] AND  COX1","Hydroides dirampha[ORGN] AND  FITS","Hydroides dirampha[ORGN] AND  ITS2","Hydroides dirampha[ORGN] AND  ITS1","Hydroides dirampha[ORGN] AND  trnl","Hydroides dirampha[ORGN] AND  12S"
"Pseudopolydora kempi","Pseudopolydora kempi[ORGN] AND 18S","Pseudopolydora kempi[ORGN] AND  16S","Pseudopolydora kempi[ORGN] AND  PITS","Pseudopolydora kempi[ORGN] AND  CO1","Pseudopolydora kempi[ORGN] AND  COI","Pseudopolydora kempi[ORGN] AND  COX1","Pseudopolydora kempi[ORGN] AND  FITS","Pseudopolydora kempi[ORGN] AND  ITS2","Pseudopolydora kempi[ORGN] AND  ITS1","Pseudopolydora kempi[ORGN] AND  trnl","Pseudopolydora kempi[ORGN] AND  12S"
"Clymenella torquata","Clymenella torquata[ORGN] AND 18S","Clymenella torquata[ORGN] AND  16S","Clymenella torquata[ORGN] AND  PITS","Clymenella torquata[ORGN] AND  CO1","Clymenella torquata[ORGN] AND  COI","Clymenella torquata[ORGN] AND  COX1","Clymenella torquata[ORGN] AND  FITS","Clymenella torquata[ORGN] AND  ITS2","Clymenella torquata[ORGN] AND  ITS1","Clymenella torquata[ORGN] AND  trnl","Clymenella torquata[ORGN] AND  12S"
"Sabellastarte spectabilis","Sabellastarte spectabilis[ORGN] AND 18S","Sabellastarte spectabilis[ORGN] AND  16S","Sabellastarte spectabilis[ORGN] AND  PITS","Sabellastarte spectabilis[ORGN] AND  CO1","Sabellastarte spectabilis[ORGN] AND  COI","Sabellastarte spectabilis[ORGN] AND  COX1","Sabellastarte spectabilis[ORGN] AND  FITS","Sabellastarte spectabilis[ORGN] AND  ITS2","Sabellastarte spectabilis[ORGN] AND  ITS1","Sabellastarte spectabilis[ORGN] AND  trnl","Sabellastarte spectabilis[ORGN] AND  12S"
"Janua pagenstecheri","Janua pagenstecheri[ORGN] AND 18S","Janua pagenstecheri[ORGN] AND  16S","Janua pagenstecheri[ORGN] AND  PITS","Janua pagenstecheri[ORGN] AND  CO1","Janua pagenstecheri[ORGN] AND  COI","Janua pagenstecheri[ORGN] AND  COX1","Janua pagenstecheri[ORGN] AND  FITS","Janua pagenstecheri[ORGN] AND  ITS2","Janua pagenstecheri[ORGN] AND  ITS1","Janua pagenstecheri[ORGN] AND  trnl","Janua pagenstecheri[ORGN] AND  12S"
"Perna perna","Perna perna[ORGN] AND 18S","Perna perna[ORGN] AND  16S","Perna perna[ORGN] AND  PITS","Perna perna[ORGN] AND  CO1","Perna perna[ORGN] AND  COI","Perna perna[ORGN] AND  COX1","Perna perna[ORGN] AND  FITS","Perna perna[ORGN] AND  ITS2","Perna perna[ORGN] AND  ITS1","Perna perna[ORGN] AND  trnl","Perna perna[ORGN] AND  12S"
"Ruditapes philippinarum","Ruditapes philippinarum[ORGN] AND 18S","Ruditapes philippinarum[ORGN] AND  16S","Ruditapes philippinarum[ORGN] AND  PITS","Ruditapes philippinarum[ORGN] AND  CO1","Ruditapes philippinarum[ORGN] AND  COI","Ruditapes philippinarum[ORGN] AND  COX1","Ruditapes philippinarum[ORGN] AND  FITS","Ruditapes philippinarum[ORGN] AND  ITS2","Ruditapes philippinarum[ORGN] AND  ITS1","Ruditapes philippinarum[ORGN] AND  trnl","Ruditapes philippinarum[ORGN] AND  12S"
"Ceratostoma","Ceratostoma[ORGN] AND 18S","Ceratostoma[ORGN] AND  16S","Ceratostoma[ORGN] AND  PITS","Ceratostoma[ORGN] AND  CO1","Ceratostoma[ORGN] AND  COI","Ceratostoma[ORGN] AND  COX1","Ceratostoma[ORGN] AND  FITS","Ceratostoma[ORGN] AND  ITS2","Ceratostoma[ORGN] AND  ITS1","Ceratostoma[ORGN] AND  trnl","Ceratostoma[ORGN] AND  12S"
"Geukensia demissa","Geukensia demissa[ORGN] AND 18S","Geukensia demissa[ORGN] AND  16S","Geukensia demissa[ORGN] AND  PITS","Geukensia demissa[ORGN] AND  CO1","Geukensia demissa[ORGN] AND  COI","Geukensia demissa[ORGN] AND  COX1","Geukensia demissa[ORGN] AND  FITS","Geukensia demissa[ORGN] AND  ITS2","Geukensia demissa[ORGN] AND  ITS1","Geukensia demissa[ORGN] AND  trnl","Geukensia demissa[ORGN] AND  12S"
"Mytilopsis sallei","Mytilopsis sallei[ORGN] AND 18S","Mytilopsis sallei[ORGN] AND  16S","Mytilopsis sallei[ORGN] AND  PITS","Mytilopsis sallei[ORGN] AND  CO1","Mytilopsis sallei[ORGN] AND  COI","Mytilopsis sallei[ORGN] AND  COX1","Mytilopsis sallei[ORGN] AND  FITS","Mytilopsis sallei[ORGN] AND  ITS2","Mytilopsis sallei[ORGN] AND  ITS1","Mytilopsis sallei[ORGN] AND  trnl","Mytilopsis sallei[ORGN] AND  12S"
"Teredo","Teredo[ORGN] AND 18S","Teredo[ORGN] AND  16S","Teredo[ORGN] AND  PITS","Teredo[ORGN] AND  CO1","Teredo[ORGN] AND  COI","Teredo[ORGN] AND  COX1","Teredo[ORGN] AND  FITS","Teredo[ORGN] AND  ITS2","Teredo[ORGN] AND  ITS1","Teredo[ORGN] AND  trnl","Teredo[ORGN] AND  12S"
"Theora lubrica","Theora lubrica[ORGN] AND 18S","Theora lubrica[ORGN] AND  16S","Theora lubrica[ORGN] AND  PITS","Theora lubrica[ORGN] AND  CO1","Theora lubrica[ORGN] AND  COI","Theora lubrica[ORGN] AND  COX1","Theora lubrica[ORGN] AND  FITS","Theora lubrica[ORGN] AND  ITS2","Theora lubrica[ORGN] AND  ITS1","Theora lubrica[ORGN] AND  trnl","Theora lubrica[ORGN] AND  12S"
"Acar plicata","Acar plicata[ORGN] AND 18S","Acar plicata[ORGN] AND  16S","Acar plicata[ORGN] AND  PITS","Acar plicata[ORGN] AND  CO1","Acar plicata[ORGN] AND  COI","Acar plicata[ORGN] AND  COX1","Acar plicata[ORGN] AND  FITS","Acar plicata[ORGN] AND  ITS2","Acar plicata[ORGN] AND  ITS1","Acar plicata[ORGN] AND  trnl","Acar plicata[ORGN] AND  12S"
"Tenellia adspersa","Tenellia adspersa[ORGN] AND 18S","Tenellia adspersa[ORGN] AND  16S","Tenellia adspersa[ORGN] AND  PITS","Tenellia adspersa[ORGN] AND  CO1","Tenellia adspersa[ORGN] AND  COI","Tenellia adspersa[ORGN] AND  COX1","Tenellia adspersa[ORGN] AND  FITS","Tenellia adspersa[ORGN] AND  ITS2","Tenellia adspersa[ORGN] AND  ITS1","Tenellia adspersa[ORGN] AND  trnl","Tenellia adspersa[ORGN] AND  12S"
"Tritonia plebeia","Tritonia plebeia[ORGN] AND 18S","Tritonia plebeia[ORGN] AND  16S","Tritonia plebeia[ORGN] AND  PITS","Tritonia plebeia[ORGN] AND  CO1","Tritonia plebeia[ORGN] AND  COI","Tritonia plebeia[ORGN] AND  COX1","Tritonia plebeia[ORGN] AND  FITS","Tritonia plebeia[ORGN] AND  ITS2","Tritonia plebeia[ORGN] AND  ITS1","Tritonia plebeia[ORGN] AND  trnl","Tritonia plebeia[ORGN] AND  12S"
"Urosalpinx cinerea","Urosalpinx cinerea[ORGN] AND 18S","Urosalpinx cinerea[ORGN] AND  16S","Urosalpinx cinerea[ORGN] AND  PITS","Urosalpinx cinerea[ORGN] AND  CO1","Urosalpinx cinerea[ORGN] AND  COI","Urosalpinx cinerea[ORGN] AND  COX1","Urosalpinx cinerea[ORGN] AND  FITS","Urosalpinx cinerea[ORGN] AND  ITS2","Urosalpinx cinerea[ORGN] AND  ITS1","Urosalpinx cinerea[ORGN] AND  trnl","Urosalpinx cinerea[ORGN] AND  12S"
"Anomia","Anomia[ORGN] AND 18S","Anomia[ORGN] AND  16S","Anomia[ORGN] AND  PITS","Anomia[ORGN] AND  CO1","Anomia[ORGN] AND  COI","Anomia[ORGN] AND  COX1","Anomia[ORGN] AND  FITS","Anomia[ORGN] AND  ITS2","Anomia[ORGN] AND  ITS1","Anomia[ORGN] AND  trnl","Anomia[ORGN] AND  12S"
"Crucibulum spinosum","Crucibulum spinosum[ORGN] AND 18S","Crucibulum spinosum[ORGN] AND  16S","Crucibulum spinosum[ORGN] AND  PITS","Crucibulum spinosum[ORGN] AND  CO1","Crucibulum spinosum[ORGN] AND  COI","Crucibulum spinosum[ORGN] AND  COX1","Crucibulum spinosum[ORGN] AND  FITS","Crucibulum spinosum[ORGN] AND  ITS2","Crucibulum spinosum[ORGN] AND  ITS1","Crucibulum spinosum[ORGN] AND  trnl","Crucibulum spinosum[ORGN] AND  12S"
"Ostrea edulis","Ostrea edulis[ORGN] AND 18S","Ostrea edulis[ORGN] AND  16S","Ostrea edulis[ORGN] AND  PITS","Ostrea edulis[ORGN] AND  CO1","Ostrea edulis[ORGN] AND  COI","Ostrea edulis[ORGN] AND  COX1","Ostrea edulis[ORGN] AND  FITS","Ostrea edulis[ORGN] AND  ITS2","Ostrea edulis[ORGN] AND  ITS1","Ostrea edulis[ORGN] AND  trnl","Ostrea edulis[ORGN] AND  12S"
"Pinctada margaritifera","Pinctada margaritifera[ORGN] AND 18S","Pinctada margaritifera[ORGN] AND  16S","Pinctada margaritifera[ORGN] AND  PITS","Pinctada margaritifera[ORGN] AND  CO1","Pinctada margaritifera[ORGN] AND  COI","Pinctada margaritifera[ORGN] AND  COX1","Pinctada margaritifera[ORGN] AND  FITS","Pinctada margaritifera[ORGN] AND  ITS2","Pinctada margaritifera[ORGN] AND  ITS1","Pinctada margaritifera[ORGN] AND  trnl","Pinctada margaritifera[ORGN] AND  12S"
"Thecacera pennigera","Thecacera pennigera[ORGN] AND 18S","Thecacera pennigera[ORGN] AND  16S","Thecacera pennigera[ORGN] AND  PITS","Thecacera pennigera[ORGN] AND  CO1","Thecacera pennigera[ORGN] AND  COI","Thecacera pennigera[ORGN] AND  COX1","Thecacera pennigera[ORGN] AND  FITS","Thecacera pennigera[ORGN] AND  ITS2","Thecacera pennigera[ORGN] AND  ITS1","Thecacera pennigera[ORGN] AND  trnl","Thecacera pennigera[ORGN] AND  12S"
"Adula","Adula[ORGN] AND 18S","Adula[ORGN] AND  16S","Adula[ORGN] AND  PITS","Adula[ORGN] AND  CO1","Adula[ORGN] AND  COI","Adula[ORGN] AND  COX1","Adula[ORGN] AND  FITS","Adula[ORGN] AND  ITS2","Adula[ORGN] AND  ITS1","Adula[ORGN] AND  trnl","Adula[ORGN] AND  12S"
"Adula aff. californiensis MO-2010","Adula aff. californiensis MO-2010[ORGN] AND 18S","Adula aff. californiensis MO-2010[ORGN] AND  16S","Adula aff. californiensis MO-2010[ORGN] AND  PITS","Adula aff. californiensis MO-2010[ORGN] AND  CO1","Adula aff. californiensis MO-2010[ORGN] AND  COI","Adula aff. californiensis MO-2010[ORGN] AND  COX1","Adula aff. californiensis MO-2010[ORGN] AND  FITS","Adula aff. californiensis MO-2010[ORGN] AND  ITS2","Adula aff. californiensis MO-2010[ORGN] AND  ITS1","Adula aff. californiensis MO-2010[ORGN] AND  trnl","Adula aff. californiensis MO-2010[ORGN] AND  12S"
"Limnoperna fortunei","Limnoperna fortunei[ORGN] AND 18S","Limnoperna fortunei[ORGN] AND  16S","Limnoperna fortunei[ORGN] AND  PITS","Limnoperna fortunei[ORGN] AND  CO1","Limnoperna fortunei[ORGN] AND  COI","Limnoperna fortunei[ORGN] AND  COX1","Limnoperna fortunei[ORGN] AND  FITS","Limnoperna fortunei[ORGN] AND  ITS2","Limnoperna fortunei[ORGN] AND  ITS1","Limnoperna fortunei[ORGN] AND  trnl","Limnoperna fortunei[ORGN] AND  12S"
"Nuttallia obscurata","Nuttallia obscurata[ORGN] AND 18S","Nuttallia obscurata[ORGN] AND  16S","Nuttallia obscurata[ORGN] AND  PITS","Nuttallia obscurata[ORGN] AND  CO1","Nuttallia obscurata[ORGN] AND  COI","Nuttallia obscurata[ORGN] AND  COX1","Nuttallia obscurata[ORGN] AND  FITS","Nuttallia obscurata[ORGN] AND  ITS2","Nuttallia obscurata[ORGN] AND  ITS1","Nuttallia obscurata[ORGN] AND  trnl","Nuttallia obscurata[ORGN] AND  12S"
"Rattus norvegicus","Rattus norvegicus[ORGN] AND 18S","Rattus norvegicus[ORGN] AND  16S","Rattus norvegicus[ORGN] AND  PITS","Rattus norvegicus[ORGN] AND  CO1","Rattus norvegicus[ORGN] AND  COI","Rattus norvegicus[ORGN] AND  COX1","Rattus norvegicus[ORGN] AND  FITS","Rattus norvegicus[ORGN] AND  ITS2","Rattus norvegicus[ORGN] AND  ITS1","Rattus norvegicus[ORGN] AND  trnl","Rattus norvegicus[ORGN] AND  12S"
"Zalophus californianus","Zalophus californianus[ORGN] AND 18S","Zalophus californianus[ORGN] AND  16S","Zalophus californianus[ORGN] AND  PITS","Zalophus californianus[ORGN] AND  CO1","Zalophus californianus[ORGN] AND  COI","Zalophus californianus[ORGN] AND  COX1","Zalophus californianus[ORGN] AND  FITS","Zalophus californianus[ORGN] AND  ITS2","Zalophus californianus[ORGN] AND  ITS1","Zalophus californianus[ORGN] AND  trnl","Zalophus californianus[ORGN] AND  12S"
